student_id,first_name,father_name,gender,program,faculty,department,field_of_study,admission_type,year,section,password,role
TCH001,Dr. Abebe,,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH002,Dr. Bekele,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH003,Dr. Chala,Demissie,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH004,Dr. Dawit,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH005,Dr. Eden,Gebre,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH006,Dr. Fikir,Tadesse,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH007,Dr. Genet,Haile,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH008,Dr. Haile,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH009,Dr. Israel,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
TCH010,Dr. Jember,Assefa,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,,,teacher123,teacher
BDU1104001,Alem,Tesfaye,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104002,Bethel,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104003,Chaltu,Tesfaye,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104004,Dawit,Mengistu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104005,Eden,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104006,Fikir,Mengistu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104007,Genet,Alemu,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104008,Haymanot,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104009,Israel,Alemu,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104010,Jember,Gebre,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104011,Kidan,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104012,Liya,Gebre,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104013,Mamo,Tadesse,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104014,Nardos,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104015,Omar,Tadesse,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104016,Petros,Haile,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104017,Rahel,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104018,Solomon,Haile,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104019,Tigist,Worku,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104020,Urgessa,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104021,Wondimu,Worku,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104022,Yared,Negash,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104023,Zenebe,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104024,Birtukan,Negash,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104025,Elias,Assefa,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104026,Hanna,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104027,Kebede,Assefa,M,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
BDU1104028,Meron,Demissie,F,Degree,Faculty of Computing,Software Engineering,Software Engineering,Regular,5,S1,ChangeMe123,
